SEASON,HOME,AWAY,W_HOME,W_AWAY,HOME_FG,AWAY_FG,HOME_FGA,AWAY_FGA,HOME_FG_PCT,AWAY_FG_PCT,HOME_FG3,AWAY_FG3,HOME_FG3A,AWAY_FG3A,HOME_FG3_PCT,AWAY_FG3_PCT,HOME_FT,AWAY_FT,HOME_FTA,AWAY_FTA,HOME_FT_PCT,AWAY_FT_PCT,HOME_OFF_REB,AWAY_OFF_REB,HOME_DEF_REB,AWAY_DEF_REB,HOME_TOT_REB,AWAY_TOT_REB,HOME_AST,AWAY_AST,HOME_STL,AWAY_STL,HOME_TURNOVERS,AWAY_TURNOVERS,HOME_BLK,AWAY_BLK,HOME_PTS,AWAY_PTS
2017-18,Pelicans,Cavaliers,1,0,49,36,95,78,0.516,0.462,13,12,33,32,0.394,0.375,12,17,16,23,0.75,0.739,10,5,37,32,55,43,33,19,10,8,11,18,4,2,123,101
2017-18,Nets,Cavaliers,1,0,40,39,93,81,0.43,0.481,17,12,46,35,0.37,0.343,15,17,21,26,0.714,0.654,10,9,28,38,49,61,22,21,11,5,13,21,3,7,112,107
2017-18,Cavaliers,Bulls,1,0,43,42,83,88,0.518,0.477,16,17,38,33,0.421,0.515,17,11,22,13,0.773,0.846,8,8,31,31,48,45,28,28,5,3,9,12,3,3,119,112
2017-18,Cavaliers,Magic,0,1,33,40,86,90,0.384,0.444,7,17,25,35,0.28,0.486,20,17,27,20,0.741,0.85,11,12,33,38,55,58,15,28,4,7,16,12,7,6,93,114
2017-18,Bucks,Cavaliers,0,1,38,44,82,81,0.463,0.543,11,11,35,26,0.314,0.423,10,17,12,17,0.833,1,8,9,22,35,34,49,23,25,9,8,15,18,2,3,97,116
2017-18,Pelicans,Spurs,1,0,52,37,88,92,0.591,0.402,5,8,19,24,0.263,0.333,13,16,19,19,0.684,0.842,11,12,40,26,56,44,30,22,11,9,19,17,5,1,122,98
2017-18,Clippers,Pelicans,0,1,45,44,98,95,0.459,0.463,2,11,17,30,0.118,0.367,8,14,19,20,0.421,0.7,17,9,44,41,68,53,29,34,6,13,16,8,6,10,100,113
2017-18,Warriors,Pelicans,0,1,49,49,90,87,0.544,0.563,15,11,33,27,0.455,0.407,7,17,11,22,0.636,0.773,8,4,34,30,48,40,31,39,3,15,17,8,0,6,120,126
2017-18,Suns,Pelicans,0,1,37,45,94,99,0.394,0.455,9,16,33,38,0.273,0.421,20,16,26,20,0.769,0.8,12,13,36,42,56,65,20,29,8,9,14,15,4,7,103,122
2017-18,Pelicans,Grizzlies,1,0,45,37,86,93,0.523,0.398,16,10,36,32,0.444,0.313,17,11,19,15,0.895,0.733,11,11,37,26,53,50,32,19,14,9,18,21,7,1,123,95
2017-18,Pelicans,Thunder,0,1,38,41,83,95,0.458,0.432,11,9,32,31,0.344,0.29,17,18,23,25,0.739,0.72,7,14,37,37,51,61,28,24,13,13,21,18,3,4,104,109
2017-18,Pelicans,Trail Blazers,0,1,43,44,94,105,0.457,0.419,4,10,24,32,0.167,0.313,13,9,14,10,0.929,0.9,11,17,43,30,62,52,28,20,3,11,16,10,10,7,103,107
